"Name","Screen name","Party","Constituency","Followers","New followers in last 24 hours"
"Chris Philp ","@CPhilpOfficial","Conservative","Croydon South",13103,7
"Chris Loder","@chrisloder","Conservative","West Dorset",5951,4
"Chris Law ","@ChrisLawSNP","Scottish National Party","Dundee West",19467,4
"Chris Heaton-Harris ","@chhcalling","Conservative","Daventry",22233,-2
"Chris Green","@CGreenUK","Conservative","Bolton West",12992,1
"Chris Evans","@Chris_EvansMP","Labour","Islwyn",6741,3
"Chris Elmore ","@CPJElmore","Labour","Ogmore",10842,4
"Chris Clarkson","@ChrisClarksonMP","Conservative","Heywood and Middleton",5600,4
"Chris Bryant ","@RhonddaBryant","Labour","Rhondda",72594,-1
"Chloe Smith","@NorwichChloe","Conservative","Norwich North",18524,3
"Chi Onwurah ","@ChiOnwurah","Labour","Newcastle upon Tyne Central",45050,-1
"Cherilyn Mackrory","@thisischerilyn","Conservative","Truro and Falmouth",2905,3
"Charlotte Nichols","@charlotte2153","Labour","Warrington North",22450,5
"Charles Walker","@CharlesWalkerMP","Conservative","Broxbourne",30298,-10
"Catherine West ","@CatherineWest1","Labour","Hornsey and Wood Green",31006,3
"Catherine McKinnell ","@CatMcKinnell","Labour","Newcastle upon Tyne North",28377,-1
"Cat Smith ","@CatSmithMP","Labour","Lancaster and Fleetwood",40895,2
"Carolyn Harris ","@carolynharris24","Labour","Swansea East",26905,4
"Caroline Nokes","@carolinenokes","Conservative","Romsey and Southampton North",22825,2
"Caroline Lucas ","@CarolineLucas","Green Party","Brighton, Pavilion",509509,129
"Caroline Dinenage ","@cj_dinenage","Conservative","Gosport",22049,4
"Caroline Ansell ","@Caroline_Ansell","Conservative","Eastbourne",5952,3
"Carol Monaghan ","@CMonaghanSNP","Scottish National Party","Glasgow North West",20515,2
"Carla Lockhart","@carlalockhart","Democratic Unionist Party","Upper Bann",9204,0
"Bridget Phillipson ","@bphillipsonMP","Labour","Houghton and Sunderland South",38142,-9
"Brendan O'Hara ","@BrendanOHaraMP","Scottish National Party","Argyll and Bute",14689,5
"Brendan Clarke-Smith","@Bren4Bassetlaw","Conservative","Bassetlaw",3195,0
"Brandon Lewis ","@BrandonLewis","Conservative","Great Yarmouth",59042,-2
"Boris Johnson ","@BorisJohnson","Conservative","Uxbridge and South Ruislip",3600193,1187
"Bob Seely","@IoWBobSeely","Conservative","Isle of Wight",12918,0
"Bob Blackman ","@BobBlackman","Conservative","Harrow East",25269,-1
